TOKEN	WEIGHT
very	-0.08101957969279425
only	-0.07968653434844168
those	-0.07966676337758864
yield	-0.0783410559254034
country	-0.07733895593634803
Government	-0.07627409785386792
years	-0.07597579277945042
That	-0.0754219813035462
State	-0.07514366283253332
ask	-0.0745882438750033
make	-0.07382694681348537
Committee	-0.07236320248446353
shall	-0.07217517249855036
us	-0.07165459836841924
because	-0.07143006298283379
This	-0.0703859963216493
up	-0.06879646366495946
law	-0.06812203865372878
before	-0.06780371071698542
into	-0.06701343445849346
If	-0.06665617562198366
year	-0.06607010646313055
over	-0.06192212939741646
order	-0.06160824404404536
know	-0.0604905879605363
Is	-0.05978616335620774
said	-0.05929321972597111
could	-0.05780955695748772
great	-0.05773439809542782
Chairman	-0.05733591149448364
here	-0.05653940155445779
many	-0.056424790534182305
American	-0.0561095203786626
him	-0.05486713251062229
vote	-0.053750503342723126
take	-0.053227677123143115
But	-0.05315721579039645
want	-0.05306917966671506
does	-0.052578347442112525
report	-0.05168684908243015
New	-0.05101608793080869
(	-0.049250007307546056
must	-0.04908594843393505
right	-0.049023060648619804
)	-0.048849478867008765
did	-0.048804264140002884
legislation	-0.04875296130236377
same	-0.04842629369175781
like	-0.048333824076394916
Federal	-0.04833052257158015
There	-0.04812314861562061
also	-0.0479334725072279
present	-0.04762052986391283
just	-0.04746298438202073
then	-0.046930519778412644
money	-0.046368155815896164
point	-0.045708304938697125
They	-0.04561524472987031
going	-0.04530489934157136
two	-0.045009399559596305
He	-0.04488597479609578
go	-0.044882752195528196
get	-0.04479825126128536
every	-0.044700192896460676
objection	-0.044633350722908485
much	-0.04445735937098137
first	-0.04436821944191478
fact	-0.044359108329944864
believe	-0.044048281625633984
being	-0.043758036091763035
public	-0.043734540100008594
way	-0.04334832465639792
after	-0.04325700874823746
work	-0.04308072684382464
matter	-0.04284838898710511
last	-0.04248952421284315
consent	-0.04221915270454899
today	-0.042093807178082365
read	-0.0420373640951669
against	-0.04175551705561169
where	-0.041383154122389715
resolution	-0.04042693444542663
most	-0.04030733477602866
without	-0.039389299360512504
part	-0.03920966915626708
power	-0.03873846514905429
business	-0.0386517438775431
unanimous	-0.03820147061470944
act	-0.037837022301451646
well	-0.037780654351241436
program	-0.03761049004317522
new	-0.03740294848496742
men	-0.0371972360326674
through	-0.03660340804898041
come	-0.03617139089959553
And	-0.0360806802370314
pay	-0.035730418474324684
whether	-0.03558107810263212
consideration	-0.03528158817535558
Department	-0.03520492294435884
own	-0.035137507230208614
case	-0.035085812458584754
Secretary	-0.03445190456331756
good	-0.03438389308023667
man	-0.03432916272368521
support	-0.03430376671318986
war	-0.03380429656121409
give	-0.03371876559020612
per	-0.033532432518914565
tax	-0.03325260480641674
No	-0.032010964212024526
service	-0.03186310464311931
put	-0.03151340115768139
percent	-0.031465509471730255
done	-0.03133261146199072
passed	-0.0312168389371748
As	-0.030966363238153074
see	-0.030814694681626863
purpose	-0.030649847959833738
York	-0.030605412511075864
section	-0.030593044208997326
1	-0.030573714719402265
call	-0.030281001958239146
might	-0.029969302172956076
further	-0.029879808101212137
how	-0.02981510063408959
day	-0.02980261362631382
amount	-0.029099372059751067
million	-0.029089755319809375
use	-0.029015601489746565
world	-0.02900447306845062
need	-0.028231921301259472
important	-0.02820790175834405
Chair	-0.028104930893072803
between	-0.028045680284574156
even	-0.028026426175983575
during	-0.027939800587283126
statement	-0.027705081483203498
Now	-0.027559398535600584
A	-0.027533038092079173
understand	-0.027505878799441812
back	-0.027357439089328712
hope	-0.027323786157096238
minutes	-0.027200096733727728
course	-0.02714438200512552
necessary	-0.027133791372204074
Senators	-0.027036734271037036
subject	-0.026969007674205934
number	-0.026953580010010414
cost	-0.02691069017783409
ought	-0.0268384742966417
system	-0.02658653588777581
taken	-0.026471414846297336
down	-0.026439213643557363
both	-0.026301830990119415
national	-0.02613803721584046
Act	-0.026129304921449874
until	-0.02597926789243656
another	-0.0258549933315877
interest	-0.025715521829370896
proposed	-0.025557064530795457
appropriation	-0.025325434886739332
increase	-0.025116707386192486
far	-0.025096100070261678
each	-0.02486118550153285
action	-0.02479849201246764
provide	-0.024645427050556792
provision	-0.024590109531475664
So	-0.02433122402007465
move	-0.02429737228864864
2	-0.024031181446803093
given	-0.02388564399993041
motion	-0.02385143981042595
attention	-0.023845400882994132
never	-0.023726663224825847
certain	-0.02358702427260186
long	-0.0235715844324873
What	-0.023504482040534392
place	-0.023477742416474816
reason	-0.023324595481310093
line	-0.023238140454462677
policy	-0.023069805004331215
within	-0.02301230160285968
amendments	-0.022860397039737898
floor	-0.02270387050087799
request	-0.02259142439445688
few	-0.022503136665662206
while	-0.022459350367129507
find	-0.02242832826054757
wish	-0.02223464682897571
desire	-0.021889561670453334
ago	-0.021792606035085094
your	-0.021754823837846004
Washington	-0.02160778226464802
members	-0.021600745462889738
having	-0.021547674784012216
able	-0.021536785697183123
rule	-0.021518395754294543
state	-0.021512618584907262
again	-0.021362461062960067
general	-0.021199453701337558
care	-0.021120408143082636
foreign	-0.0210626406614035
little	-0.021049370096950865
Members	-0.020931663249322524
RECORD	-0.02087286580630082
debate	-0.020812755039953158
land	-0.0207676860335725
her	-0.020712209482679357
next	-0.020707225962836133
distinguished	-0.020574567508491057
used	-0.02052503768369422
why	-0.020475209421611594
let	-0.02045240407555378
three	-0.020406496104767226
chairman	-0.020403386453294026
making	-0.020009461472225633
colleagues	-0.02000288943796172
offered	-0.019872143897736835
since	-0.019784313416554095
words	-0.019688060856276224
paid	-0.019614863113353375
less	-0.019560301898251423
5	-0.019554917409958617
America	-0.01946985428903729
10	-0.019443943161375793
conference	-0.019349939975240475
provided	-0.019337975969980364
better	-0.019274518048855455
stated	-0.019175654517760193
already	-0.019157002682513358
issue	-0.019149733340055316
government	-0.019125961454289672
large	-0.019089415249631682
information	-0.019035546150222845
duty	-0.018928501039856185
side	-0.01887254173746356
administration	-0.01875113386184131
provisions	-0.018728892429048766
effect	-0.018728300799281932
life	-0.018670620395618235
too	-0.01849571462992516
control	-0.01846229852028166
price	-0.01845696724322643
3	-0.018439467447672126
simply	-0.018383923342076735
authority	-0.018285211698896877
military	-0.018274537408299672
For	-0.018272805852348556
called	-0.01826538771341272
member	-0.018260008237374163
thing	-0.018200584203964504
Treasury	-0.018109068943779838
kind	-0.018080275473406154
cent	-0.018055542222237122
remarks	-0.018041552095723657
opportunity	-0.018035450659302447
body	-0.017960553699780165
Let	-0.017938940262152377
situation	-0.01793666620454855
true	-0.017881237123054075
industry	-0.01785908014024818
rights	-0.01779653387405619
reported	-0.017793507397287866
result	-0.01773223732546926
majority	-0.017732053349225712
On	-0.017689875009965016
days	-0.01764033160280296
National	-0.0176121961336674
South	-0.01760997239218676
following	-0.017531327140614113
says	-0.0175127083413083
word	-0.01747419730869534
measure	-0.017370023751860714
court	-0.01731059177027042
help	-0.017306046137840026
ever	-0.017274461259454425
whole	-0.017261065657616283
billion	-0.017215998186891613
still	-0.017211916044789805
best	-0.01717315180737562
When	-0.01715304357712524
additional	-0.017145376461589888
seems	-0.01704504067632218
programs	-0.017019138854359465
funds	-0.01697821257077473
possible	-0.01688163961581773
bills	-0.016828831469293475
friend	-0.016799934160818986
budget	-0.016785181745889333
laws	-0.016775375113525066
small	-0.016671631594054135
free	-0.016582988581246377
position	-0.01656527329188957
respect	-0.016541017592692785
problem	-0.016484755868541107
ordered	-0.01645654039833955
nothing	-0.016405668866525155
referred	-0.016395970566744984
